CustomerID,FirstName,LastName,Email,Phone,City,State,PostalCode,CarModel,CarMake,ModelYear,PurchaseDate,Dealer
CUST0565,Casey,Smith,casey.smith1@mail.com,797-739-4639,Houston,CA,12955,Truck,Tesla,2011,2023-05-09,AutoWorld
CUST0543,Peyton,Smith,peyton.smith2@carsales.net,348-421-8454,Chicago,TX,58953,Truck,Honda,2012,2023-04-17,City Cars
CUST0263,Morgan,Davis,morgan.davis1@carsales.net,261-345-5584,Los Angeles,NY,40339,Hatchback,Tesla,2024,2022-12-11,City Cars
CUST0773,Jordan,Miller,jordan.miller5@carsales.net,687-874-2645,San Antonio,IL,89583,Convertible,BMW,2013,2025-01-20,Metro Vehicles
CUST0620,Jamie,Miller,jamie.miller2@mail.com,602-586-4677,New York,NY,83207,Sedan,Chevrolet,2020,2024-07-29,Prime Motors
CUST0348,Jordan,Williams,jordan.williams1@carsales.net,952-726-2955,San Antonio,NY,66165,SUV,Honda,2014,2024-05-17,Metro Vehicles
CUST0746,Peyton,Brown,peyton.brown1@example.com,873-485-7045,New York,NY,38647,Convertible,Chevrolet,2016,2024-03-02,AutoWorld
CUST0147,Peyton,Brown,peyton.brown@autoclub.com,910-702-4279,Los Angeles,CA,19706,Truck,Chevrolet,2017,2024-11-21,AutoWorld
CUST0299,Riley,Jones,riley.jones2@autoclub.com,703-912-2609,Houston,CA,49384,Coupe,Ford,2021,2023-05-17,Highway Auto
CUST0781,Quinn,Miller,quinn.miller3@autoclub.com,714-905-3022,Phoenix,PA,85231,Hatchback,Ford,2017,2024-08-25,Highway Auto
CUST0002,Morgan,Brown,morgan.brown@example.com,774-403-9928,San Antonio,CA,68878,Sedan,Audi,2019,2024-04-19,Prime Motors
CUST0550,Jamie,Williams,jamie.williams@autoclub.com,841-675-1022,Los Angeles,TX,53634,Coupe,Chevrolet,2018,2025-09-04,City Cars
CUST0153,Quinn,Rodriguez,quinn.rodriguez@example.com,714-856-3762,San Jose,AZ,30210,Convertible,Toyota,2012,2023-12-19,AutoWorld
CUST0752,Morgan,Brown,morgan.brown1@carsales.net,733-529-4007,San Diego,PA,10792,Sedan,Honda,2011,2023-02-07,AutoWorld
CUST0655,Alex,Johnson,alex.johnson1@autoclub.com,640-316-4714,Los Angeles,AZ,39372,Coupe,Audi,2017,2024-05-30,City Cars
CUST0052,Quinn,Johnson,quinn.johnson@example.com,555-745-8018,Philadelphia,NY,76317,Sedan,Audi,2020,2023-12-12,Highway Auto
CUST0141,Casey,Williams,casey.williams@carsales.net,908-709-7018,Dallas,IL,20828,Sedan,Chevrolet,2021,2023-06-24,Metro Vehicles
CUST0106,Casey,Johnson,casey.johnson@autoclub.com,625-345-1019,Dallas,AZ,90422,Convertible,Tesla,2020,2025-09-18,City Cars
CUST0072,Jamie,Rodriguez,jamie.rodriguez@example.com,873-755-8569,San Antonio,NY,34586,Convertible,Audi,2018,2023-10-31,Highway Auto
CUST0788,Peyton,Davis,peyton.davis1@autoclub.com,847-868-8292,Philadelphia,NY,25728,Sedan,Chevrolet,2011,2025-05-24,Metro Vehicles
CUST0265,Riley,Jones,riley.jones1@autoclub.com,602-917-6345,Philadelphia,TX,45645,SUV,Honda,2013,2025-06-10,Metro Vehicles
CUST0475,Jamie,Rodriguez,jamie.rodriguez2@example.com,499-682-3204,Los Angeles,PA,45968,Hatchback,BMW,2015,2022-11-26,Prime Motors
CUST0563,Taylor,Smith,taylor.smith2@autoclub.com,862-922-5842,San Diego,IL,85199,Convertible,Tesla,2020,2025-01-12,Highway Auto
CUST0382,Casey,Martinez,casey.martinez2@example.com,635-337-5170,San Diego,CA,20986,Coupe,Honda,2014,2023-07-27,AutoWorld
CUST0406,Quinn,Martinez,quinn.martinez@mail.com,999-491-6818,Philadelphia,PA,76904,Sedan,Chevrolet,2017,2023-05-09,Metro Vehicles
CUST0716,Morgan,Johnson,morgan.johnson3@carsales.net,879-829-2062,Chicago,AZ,60871,Coupe,Chevrolet,2022,2023-01-02,Metro Vehicles
CUST0439,Jamie,Smith,jamie.smith5@mail.com,491-810-1267,New York,CA,49562,SUV,Honda,2010,2024-03-04,City Cars
CUST0393,Riley,Rodriguez,riley.rodriguez4@autoclub.com,910-653-7178,San Jose,TX,41886,Hatchback,Tesla,2022,2023-12-15,Highway Auto
CUST0779,Riley,Smith,riley.smith1@mail.com,597-633-6237,Philadelphia,PA,26555,Sedan,Chevrolet,2018,2024-08-12,AutoWorld
CUST0215,Morgan,Garcia,morgan.garcia@mail.com,668-309-3219,Phoenix,NY,61864,Coupe,Chevrolet,2015,2023-09-23,City Cars
CUST0709,Morgan,Brown,morgan.brown@carsales.net,838-418-4916,San Diego,PA,53452,SUV,Chevrolet,2022,2023-10-02,Prime Motors
CUST0670,Jamie,Martinez,jamie.martinez3@carsales.net,470-798-9172,San Antonio,TX,74165,SUV,Honda,2021,2023-07-10,Metro Vehicles
CUST0365,Casey,Brown,casey.brown@mail.com,929-957-8145,Phoenix,IL,27603,Hatchback,Chevrolet,2020,2023-12-31,Highway Auto
CUST0130,Alex,Garcia,alex.garcia4@carsales.net,767-305-9452,Los Angeles,IL,20993,Coupe,Chevrolet,2022,2024-12-16,Metro Vehicles
CUST0214,Riley,Jones,riley.jones@carsales.net,349-264-3739,San Antonio,IL,65194,Sedan,Ford,2014,2023-02-22,City Cars
CUST0395,Avery,Rodriguez,avery.rodriguez4@autoclub.com,917-469-5067,Phoenix,NY,62288,Sedan,BMW,2020,2023-12-10,Prime Motors
CUST0446,Avery,Davis,avery.davis@mail.com,980-338-8879,Dallas,CA,73944,Convertible,BMW,2016,2024-10-04,Metro Vehicles
CUST0404,Avery,Miller,avery.miller@carsales.net,346-273-7986,San Antonio,NY,31409,Coupe,Chevrolet,2010,2024-08-28,AutoWorld
CUST0499,Jordan,Brown,jordan.brown@mail.com,794-973-1003,Chicago,PA,29558,Coupe,Chevrolet,2017,2022-11-17,Metro Vehicles
CUST0459,Alex,Miller,alex.miller@carsales.net,621-510-8258,Phoenix,CA,34632,SUV,Toyota,2011,2025-02-13,Metro Vehicles
CUST0356,Alex,Johnson,alex.johnson1@example.com,255-382-5127,Dallas,NY,85361,Coupe,Chevrolet,2023,2024-07-31,Highway Auto
CUST0208,Alex,Johnson,alex.johnson2@carsales.net,437-277-6580,San Jose,AZ,88067,Sedan,Tesla,2016,2024-01-11,City Cars
CUST0252,Jordan,Rodriguez,jordan.rodriguez2@mail.com,484-285-6077,Los Angeles,AZ,36633,Convertible,Ford,2022,2024-12-26,Highway Auto
CUST0116,Casey,Williams,casey.williams@example.com,722-848-2868,Dallas,AZ,35415,Coupe,Tesla,2024,2023-11-25,Prime Motors
CUST0280,Quinn,Johnson,quinn.johnson1@autoclub.com,509-530-3235,Chicago,PA,67261,Truck,Ford,2022,2023-02-16,Prime Motors
CUST0390,Taylor,Johnson,taylor.johnson@autoclub.com,998-609-6785,San Antonio,TX,86818,Sedan,Tesla,2013,2022-12-15,AutoWorld
CUST0697,Casey,Smith,casey.smith@carsales.net,399-542-2340,San Jose,NY,39573,Sedan,Honda,2021,2023-06-26,Prime Motors
CUST0463,Peyton,Brown,peyton.brown@carsales.net,614-994-1685,San Jose,PA,59856,Hatchback,BMW,2021,2024-02-08,Metro Vehicles
CUST0003,Jamie,Miller,jamie.miller@autoclub.com,359-420-6514,Los Angeles,NY,59797,Coupe,BMW,2011,2023-11-05,City Cars
CUST0586,Avery,Williams,avery.williams1@carsales.net,980-569-5723,Dallas,PA,15322,Hatchback,Toyota,2011,2024-01-08,Highway Auto
CUST0102,Jamie,Johnson,jamie.johnson@example.com,870-866-4522,San Antonio,TX,39949,Hatchback,Chevrolet,2016,2023-12-16,Highway Auto
CUST0236,Taylor,Martinez,taylor.martinez@mail.com,411-411-1972,San Jose,IL,79767,Coupe,Tesla,2014,2024-11-30,City Cars
CUST0514,Morgan,Martinez,morgan.martinez1@autoclub.com,255-857-5331,Los Angeles,NY,31967,Hatchback,Ford,2017,2023-08-16,Highway Auto
CUST0574,Alex,Williams,alex.williams2@autoclub.com,672-909-3219,Philadelphia,CA,16932,Hatchback,Tesla,2014,2023-11-01,City Cars
CUST0411,Jordan,Jones,jordan.jones@mail.com,286-870-7387,Phoenix,CA,42426,Hatchback,Tesla,2021,2024-04-07,Prime Motors
CUST0410,Morgan,Williams,morgan.williams@carsales.net,305-297-2045,San Diego,AZ,17055,Convertible,Audi,2010,2023-08-19,AutoWorld
CUST0250,Casey,Williams,casey.williams1@carsales.net,782-630-6986,Dallas,PA,32645,Sedan,Toyota,2022,2023-03-21,Metro Vehicles
CUST0726,Avery,Smith,avery.smith9@mail.com,333-424-6957,Phoenix,PA,11268,Coupe,Honda,2017,2023-11-14,Highway Auto
CUST0224,Casey,Johnson,casey.johnson1@autoclub.com,245-927-2885,New York,IL,94930,Truck,Honda,2011,2024-12-08,Metro Vehicles
CUST0222,Peyton,Martinez,peyton.martinez@mail.com,422-230-6366,Los Angeles,IL,64522,Sedan,Audi,2024,2025-05-18,Prime Motors
CUST0170,Riley,Johnson,riley.johnson@carsales.net,604-553-3399,Phoenix,NY,47700,Coupe,Chevrolet,2021,2025-06-01,City Cars
CUST0799,Jordan,Miller,jordan.miller6@example.com,571-541-5476,Chicago,CA,45867,Hatchback,Honda,2010,2025-04-23,Highway Auto
CUST0344,Jamie,Williams,jamie.williams@example.com,886-257-4275,Phoenix,CA,47567,SUV,Audi,2020,2024-06-14,AutoWorld
CUST0440,Alex,Jones,alex.jones2@mail.com,296-238-8542,Philadelphia,CA,28141,Convertible,Honda,2014,2023-10-20,Prime Motors
CUST0275,Casey,Martinez,casey.martinez1@mail.com,230-997-5602,New York,TX,79393,SUV,Toyota,2015,2024-07-21,Prime Motors
CUST0269,Morgan,Johnson,morgan.johnson@carsales.net,304-343-2989,New York,NY,39135,Hatchback,Ford,2012,2024-09-30,AutoWorld
CUST0729,Peyton,Jones,peyton.jones2@example.com,375-306-3910,New York,PA,89084,SUV,Honda,2017,2025-09-16,AutoWorld
CUST0267,Peyton,Jones,peyton.jones@example.com,347-842-1379,San Jose,NY,38183,SUV,Toyota,2023,2024-01-08,Prime Motors
CUST0740,Quinn,Johnson,quinn.johnson2@mail.com,501-327-9759,San Antonio,CA,20169,Truck,Ford,2020,2025-10-18,Prime Motors
CUST0615,Peyton,Davis,peyton.davis1@example.com,602-461-5929,Los Angeles,CA,48983,Hatchback,Tesla,2013,2024-12-16,City Cars
CUST0042,Jamie,Rodriguez,jamie.rodriguez@carsales.net,362-961-8777,San Diego,IL,42406,Convertible,Chevrolet,2023,2024-04-21,Prime Motors
CUST0049,Alex,Miller,alex.miller@mail.com,865-270-1659,New York,CA,36130,Convertible,Honda,2023,2025-09-29,Prime Motors
CUST0712,Morgan,Williams,morgan.williams2@mail.com,222-380-5289,Los Angeles,NY,98795,Truck,Audi,2012,2023-09-25,AutoWorld
CUST0381,Avery,Smith,avery.smith@carsales.net,734-630-7068,New York,PA,79444,Hatchback,Audi,2016,2024-07-28,Highway Auto
CUST0408,Casey,Brown,casey.brown2@autoclub.com,524-868-5773,Phoenix,AZ,94494,Hatchback,Audi,2016,2024-05-03,City Cars
CUST0048,Jamie,Miller,jamie.miller@mail.com,665-534-6529,San Antonio,IL,65255,Hatchback,Toyota,2014,2025-05-26,Metro Vehicles
CUST0103,Jordan,Miller,jordan.miller8@autoclub.com,520-881-5176,Philadelphia,CA,72163,Sedan,Toyota,2011,2025-05-07,Highway Auto
CUST0096,Alex,Smith,alex.smith@autoclub.com,449-328-4362,Los Angeles,AZ,37152,SUV,Ford,2019,2024-08-24,Prime Motors
CUST0661,Peyton,Williams,peyton.williams2@example.com,359-261-1526,Los Angeles,IL,51262,Hatchback,Toyota,2016,2024-12-05,Highway Auto
CUST0753,Taylor,Brown,taylor.brown@mail.com,293-377-9992,Houston,CA,76509,Truck,Chevrolet,2011,2023-06-21,City Cars
CUST0437,Avery,Davis,avery.davis@autoclub.com,873-361-9747,San Jose,TX,56179,Convertible,Ford,2024,2024-02-03,City Cars
CUST0512,Alex,Johnson,alex.johnson@mail.com,890-616-5305,San Diego,IL,32989,Hatchback,Honda,2014,2024-07-16,Metro Vehicles
CUST0765,Taylor,Williams,taylor.williams1@autoclub.com,390-920-3200,Houston,TX,33853,Hatchback,BMW,2018,2025-03-29,Prime Motors
CUST0425,Alex,Smith,alex.smith@carsales.net,904-810-3539,Philadelphia,NY,42600,Sedan,Tesla,2012,2023-01-21,Metro Vehicles
CUST0613,Jordan,Miller,jordan.miller3@carsales.net,686-899-5036,Phoenix,CA,57578,Coupe,Toyota,2017,2023-10-18,Metro Vehicles
CUST0094,Quinn,Davis,quinn.davis1@autoclub.com,233-906-7070,Houston,TX,68287,Sedan,Tesla,2013,2023-10-29,City Cars
CUST0434,Casey,Rodriguez,casey.rodriguez@carsales.net,577-925-1955,San Jose,IL,79339,Coupe,Toyota,2010,2025-06-18,Prime Motors
CUST0612,Jamie,Brown,jamie.brown@mail.com,309-379-4507,San Diego,TX,63526,Hatchback,BMW,2014,2025-07-19,City Cars
CUST0360,Alex,Rodriguez,alex.rodriguez2@mail.com,326-242-1082,San Jose,AZ,61653,Coupe,Honda,2018,2025-05-19,City Cars
CUST0336,Quinn,Martinez,quinn.martinez3@carsales.net,933-872-6952,San Diego,NY,22771,Sedan,Ford,2022,2024-08-12,City Cars
CUST0520,Quinn,Williams,quinn.williams5@autoclub.com,872-982-4027,Los Angeles,PA,34151,Hatchback,Tesla,2014,2024-03-16,AutoWorld
CUST0546,Quinn,Garcia,quinn.garcia@carsales.net,485-214-8014,Houston,CA,52899,Convertible,Honda,2016,2024-08-11,Metro Vehicles
CUST0326,Jordan,Smith,jordan.smith1@example.com,341-879-3793,Philadelphia,IL,67372,Truck,Toyota,2019,2024-05-09,City Cars
CUST0784,Morgan,Rodriguez,morgan.rodriguez2@carsales.net,299-334-6298,San Jose,NY,49855,Convertible,Honda,2017,2024-12-09,Highway Auto
CUST0318,Casey,Garcia,casey.garcia@autoclub.com,968-392-3701,San Antonio,NY,39939,SUV,Tesla,2013,2025-02-14,AutoWorld
CUST0616,Jamie,Smith,jamie.smith@autoclub.com,282-998-9055,San Diego,PA,64127,Truck,Chevrolet,2024,2023-12-29,AutoWorld
CUST0317,Quinn,Jones,quinn.jones2@autoclub.com,266-246-5885,Phoenix,TX,78195,Coupe,Chevrolet,2019,2022-12-02,Prime Motors
CUST0046,Quinn,Brown,quinn.brown@carsales.net,424-479-8140,San Diego,NY,60968,Truck,Honda,2015,2023-08-04,Highway Auto
CUST0783,Alex,Rodriguez,alex.rodriguez3@carsales.net,545-632-8756,Philadelphia,TX,61257,Truck,Ford,2011,2022-11-24,City Cars
CUST0649,Quinn,Martinez,quinn.martinez1@autoclub.com,237-699-7548,San Diego,AZ,87468,SUV,Tesla,2021,2023-02-14,AutoWorld
CUST0734,Alex,Johnson,alex.johnson2@autoclub.com,861-667-6681,Phoenix,TX,90350,Hatchback,Honda,2023,2024-11-16,Prime Motors
CUST0212,Avery,Davis,avery.davis@example.com,226-291-6798,Dallas,NY,88240,Hatchback,Toyota,2019,2024-01-15,City Cars
CUST0521,Peyton,Jones,peyton.jones1@carsales.net,908-883-6298,Phoenix,CA,19698,Hatchback,Chevrolet,2014,2025-07-05,City Cars
CUST0078,Jamie,Brown,jamie.brown@carsales.net,244-525-8749,San Antonio,TX,96991,Hatchback,Toyota,2022,2025-01-02,Prime Motors
CUST0775,Morgan,Brown,morgan.brown@mail.com,971-875-2465,Los Angeles,TX,13830,Hatchback,Audi,2012,2024-01-11,City Cars
CUST0677,Taylor,Smith,taylor.smith4@autoclub.com,341-558-5641,Dallas,NY,35221,Convertible,BMW,2019,2025-07-24,Prime Motors
CUST0123,Jordan,Miller,jordan.miller@example.com,771-894-7333,Phoenix,IL,96057,Coupe,Toyota,2024,2025-01-06,Metro Vehicles
CUST0378,Jamie,Martinez,jamie.martinez3@autoclub.com,796-985-3979,San Jose,PA,76952,Truck,Tesla,2014,2024-12-01,City Cars
CUST0558,Jamie,Martinez,jamie.martinez1@autoclub.com,871-861-6346,San Diego,AZ,97274,Convertible,Chevrolet,2021,2022-11-20,Highway Auto
CUST0536,Quinn,Jones,quinn.jones1@carsales.net,910-991-8798,Chicago,CA,28754,Convertible,Chevrolet,2020,2024-05-04,Highway Auto
CUST0261,Quinn,Jones,quinn.jones@mail.com,675-577-9083,Houston,PA,81638,SUV,Toyota,2022,2024-06-25,Highway Auto
CUST0177,Taylor,Martinez,taylor.martinez1@carsales.net,637-727-6372,Los Angeles,TX,97720,SUV,Chevrolet,2011,2024-10-27,City Cars
CUST0643,Casey,Martinez,casey.martinez@carsales.net,975-886-8371,San Jose,IL,54739,SUV,Honda,2024,2024-10-22,AutoWorld
CUST0768,Alex,Smith,alex.smith2@autoclub.com,969-207-1685,Los Angeles,CA,78463,Hatchback,BMW,2022,2025-10-26,Metro Vehicles
CUST0793,Riley,Miller,riley.miller1@mail.com,633-873-1001,Houston,IL,16051,Truck,BMW,2018,2024-03-19,Highway Auto
CUST0220,Avery,Martinez,avery.martinez@example.com,311-987-5067,Philadelphia,CA,94803,Convertible,Tesla,2019,2025-08-11,Highway Auto
CUST0677,Taylor,Smith,taylor.smith4@autoclub.com,774-860-3028,Dallas,NY,35221,Convertible,BMW,2019,2025-07-24,Prime Motors
CUST0701,Alex,Garcia,alex.garcia1@example.com,508-825-8075,Los Angeles,NY,98809,Coupe,Audi,2010,2025-07-26,Highway Auto
CUST0244,Jordan,Williams,jordan.williams@mail.com,593-289-2742,San Jose,NY,55032,Hatchback,Tesla,2023,2025-03-12,Prime Motors
CUST0129,Peyton,Garcia,peyton.garcia@autoclub.com,996-591-9239,San Antonio,TX,31241,Convertible,Honda,2023,2024-09-30,City Cars
CUST0602,Jordan,Rodriguez,jordan.rodriguez3@mail.com,494-471-1778,Phoenix,AZ,62694,Convertible,Tesla,2022,2024-08-04,AutoWorld
CUST0249,Jamie,Jones,jamie.jones@example.com,445-706-7322,Los Angeles,CA,75481,Convertible,Toyota,2020,2025-06-19,City Cars
CUST0435,Avery,Johnson,avery.johnson@example.com,942-436-9710,San Antonio,CA,35312,Convertible,Tesla,2018,2024-06-18,Prime Motors
CUST0253,Quinn,Johnson,quinn.johnson@autoclub.com,915-647-4909,New York,CA,21300,Sedan,Chevrolet,2024,2023-06-04,Metro Vehicles
CUST0611,Jordan,Rodriguez,jordan.rodriguez9@autoclub.com,708-292-4900,San Antonio,NY,51079,Truck,Tesla,2015,2023-09-03,Prime Motors
CUST0171,Peyton,Brown,peyton.brown2@mail.com,751-477-5450,Chicago,NY,90698,SUV,Toyota,2021,2024-07-07,Metro Vehicles
CUST0725,Quinn,Rodriguez,quinn.rodriguez2@carsales.net,939-672-6581,Los Angeles,IL,34621,SUV,Chevrolet,2016,2023-07-08,Highway Auto
CUST0325,Riley,Jones,riley.jones1@carsales.net,251-302-3862,New York,IL,57214,Hatchback,Tesla,2022,2024-02-08,AutoWorld
CUST0598,Jordan,Davis,jordan.davis@autoclub.com,565-621-6755,New York,PA,42011,Truck,Ford,2013,2024-07-17,Metro Vehicles
CUST0487,Jordan,Smith,jordan.smith4@autoclub.com,245-903-2426,Philadelphia,TX,16047,Truck,Tesla,2011,2022-12-09,City Cars
CUST0407,Riley,Garcia,riley.garcia1@mail.com,371-855-6527,San Antonio,PA,90256,Sedan,Toyota,2019,2023-08-04,Prime Motors
CUST0160,Jordan,Davis,jordan.davis@mail.com,470-944-6992,San Antonio,IL,15930,Convertible,BMW,2016,2025-07-28,Prime Motors
CUST0566,Avery,Davis,avery.davis1@mail.com,702-525-9381,New York,PA,57325,Truck,Audi,2016,2025-01-11,Highway Auto
CUST0004,Alex,Garcia,alex.garcia@example.com,587-280-5803,San Jose,IL,85674,Sedan,Tesla,2013,2025-06-20,Prime Motors
CUST0194,Casey,Johnson,casey.johnson@carsales.net,579-294-9775,Houston,NY,45187,Sedan,Honda,2016,2025-08-21,Metro Vehicles
CUST0305,Peyton,Williams,peyton.williams7@autoclub.com,815-208-4666,Phoenix,AZ,50037,Hatchback,Chevrolet,2021,2024-04-25,City Cars
CUST0051,Quinn,Smith,quinn.smith@autoclub.com,789-893-7149,San Antonio,PA,35995,Sedan,Tesla,2011,2024-06-30,City Cars
CUST0389,Riley,Brown,riley.brown6@example.com,813-722-9451,Dallas,AZ,32214,Coupe,Honda,2020,2025-08-28,AutoWorld
CUST0202,Riley,Rodriguez,riley.rodriguez1@autoclub.com,217-714-8054,Chicago,NY,22624,SUV,Honda,2018,2025-01-09,Metro Vehicles
CUST0038,Morgan,Rodriguez,morgan.rodriguez@carsales.net,953-373-2389,Phoenix,AZ,97012,Sedan,Audi,2020,2023-12-24,Prime Motors
CUST0182,Alex,Rodriguez,alex.rodriguez1@mail.com,786-749-3455,Chicago,IL,78202,Truck,Honda,2017,2025-03-16,Metro Vehicles
CUST0174,Avery,Smith,avery.smith@mail.com,627-380-1595,San Antonio,TX,34420,Sedan,Toyota,2024,2024-03-27,City Cars
CUST0635,Peyton,Miller,peyton.miller2@mail.com,575-724-6138,Philadelphia,NY,19269,Sedan,Chevrolet,2018,2023-09-20,City Cars
CUST0457,Jamie,Jones,jamie.jones@autoclub.com,659-755-3158,Houston,PA,28163,SUV,Ford,2019,2024-09-21,Metro Vehicles
CUST0426,Casey,Smith,casey.smith1@example.com,564-860-3521,Dallas,NY,26492,Coupe,BMW,2017,2024-07-21,City Cars
CUST0193,Riley,Williams,riley.williams1@carsales.net,259-775-7761,San Antonio,AZ,79467,SUV,Ford,2012,2023-09-06,Prime Motors
CUST0442,Jordan,Martinez,jordan.martinez4@example.com,238-948-7251,Los Angeles,NY,53829,Hatchback,Audi,2015,2023-06-03,AutoWorld
CUST0477,Riley,Rodriguez,riley.rodriguez5@autoclub.com,332-829-9132,Dallas,PA,92818,SUV,BMW,2017,2023-02-05,Prime Motors
CUST0510,Riley,Martinez,riley.martinez2@autoclub.com,262-844-8752,San Jose,CA,85085,Truck,BMW,2010,2024-03-22,AutoWorld
CUST0466,Alex,Rodriguez,alex.rodriguez3@mail.com,674-861-8400,Los Angeles,PA,75622,Convertible,Tesla,2011,2024-11-06,Metro Vehicles
CUST0036,Riley,Rodriguez,riley.rodriguez@autoclub.com,882-618-6344,San Antonio,PA,48752,SUV,Chevrolet,2018,2025-02-22,Highway Auto
CUST0235,Peyton,Jones,peyton.jones@autoclub.com,289-649-2923,Houston,CA,87060,Truck,BMW,2021,2023-11-22,Highway Auto
CUST0187,Taylor,Brown,taylor.brown@example.com,974-223-5888,San Diego,PA,81361,Hatchback,Audi,2016,2022-11-16,Prime Motors
CUST0198,Taylor,Smith,taylor.smith1@autoclub.com,766-798-7841,Phoenix,CA,35715,Hatchback,BMW,2015,2024-07-26,Prime Motors
CUST0217,Quinn,Brown,quinn.brown@autoclub.com,585-487-7437,Philadelphia,NY,83905,Truck,Audi,2013,2024-11-06,Metro Vehicles
CUST0170,Riley,Johnson,riley.johnson@carsales.net,492-767-9074,Phoenix,NY,47700,Coupe,Chevrolet,2021,2025-06-02,City Cars
CUST0176,Morgan,Johnson,morgan.johnson1@autoclub.com,366-948-8518,Phoenix,PA,34405,Coupe,BMW,2010,2023-12-20,Prime Motors
CUST0376,Alex,Brown,alex.brown@example.com,330-787-3639,Chicago,PA,77193,Sedan,Honda,2010,2025-01-13,City Cars
CUST0416,Alex,Rodriguez,alex.rodriguez@autoclub.com,393-621-8161,San Antonio,CA,31400,Hatchback,Honda,2021,2023-09-03,City Cars
CUST0304,Alex,Williams,alex.williams@mail.com,426-862-4688,Houston,IL,95404,Sedan,Audi,2016,2022-12-24,AutoWorld
CUST0056,Quinn,Jones,quinn.jones7@example.com,850-380-2369,Phoenix,PA,63271,Truck,Chevrolet,2017,2024-07-05,Highway Auto
CUST0776,Morgan,Jones,morgan.jones@carsales.net,886-326-3224,Dallas,PA,74482,SUV,BMW,2011,2023-12-29,Metro Vehicles
CUST0587,Riley,Garcia,riley.garcia@autoclub.com,903-654-4700,Dallas,TX,48088,SUV,Audi,2023,2023-06-17,AutoWorld
CUST0232,Peyton,Davis,peyton.davis@carsales.net,700-371-2354,San Jose,NY,38905,Coupe,Honda,2014,2025-09-04,Metro Vehicles
CUST0300,Quinn,Johnson,quinn.johnson1@mail.com,652-416-7671,San Diego,AZ,59009,Convertible,Audi,2023,2025-07-17,Prime Motors
CUST0519,Morgan,Smith,morgan.smith1@example.com,834-294-1931,San Jose,PA,38419,Truck,Toyota,2019,2025-03-05,AutoWorld
CUST0313,Alex,Williams,alex.williams2@autoclub.com,405-550-7704,Houston,TX,28772,Sedan,Chevrolet,2015,2024-11-05,City Cars
CUST0017,Quinn,Martinez,quinn.martinez9@autoclub.com,448-684-7669,San Diego,NY,22704,Coupe,Chevrolet,2020,2023-06-11,Highway Auto
CUST0227,Quinn,Johnson,quinn.johnson@mail.com,574-533-4228,San Diego,NY,44387,Convertible,Tesla,2020,2023-02-11,City Cars
CUST0109,Casey,Martinez,casey.martinez@example.com,253-359-3579,San Jose,NY,98338,Hatchback,Tesla,2011,2024-04-28,Highway Auto
CUST0289,Alex,Davis,alex.davis2@example.com,501-877-8869,Houston,NY,13373,Truck,Ford,2013,2024-11-25,AutoWorld
CUST0594,Alex,Davis,alex.davis5@example.com,592-660-6153,San Antonio,TX,70248,SUV,BMW,2010,2025-09-03,City Cars
CUST0062,Jordan,Johnson,jordan.johnson@carsales.net,703-275-1878,Chicago,CA,83772,SUV,Toyota,2014,2025-05-19,Metro Vehicles
CUST0468,Casey,Williams,casey.williams3@example.com,293-316-8362,Philadelphia,NY,78657,Truck,Audi,2021,2023-09-15,Metro Vehicles
CUST0324,Jordan,Martinez,jordan.martinez@carsales.net,352-292-9383,Los Angeles,PA,23276,Truck,Honda,2024,2024-06-03,Highway Auto
